,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
5 Ghz,14243_ubuntu2004_gitlab-runner_linux_amd64_,10,40,585,,585,,,18 080,,10.20.42.44,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=devops-nodeexporter-linux&var-host=general-runner.devops.ics.local:9100,"39,80%",gitlab runner,"Используют все проекты, основной раннер",DO,,ДО: кто его использует? Что там запускается?
,14244_win22_Dev_Zambon,4,32,80,770,850,,,10 560,,10.20.42.45,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=dev-zambon.intc.ics.local&var-cpumode=dpc,"26,90%",Zambon dev,,Zambon,,что такое замбон?
,14245_ubuntu_10TB,2,6,,,0,10250,,21 580,,10.20.42.46,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=nodeexporter-storage-linux&var-host=veeam-storage-node1.ics.local:9100,"1,30%",Veeam storage,backup hw SO+,DO,,это ведь к селлауту?
,14246_ubuntu_10tb,2,6,,,0,10250,,21 580,,10.20.42.47,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-job=nodeexporter-storage-linux&var-host=veeam-storage-node2.ics.local:9100,"5,60%",Veeam storage RB_MDT,backup hw RB,DO,,это ведь к RB?
,14247_win22_Binnopharm_SO,6,24,100,1836,1936,,,19 208,,10.20.42.48,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&var-server=vm14247.ics.local&var-cpumode=dpc,"63,50%",tenant SO Binnopharm, ,SO Binnopharm,,
,14248_truenas_10TB,4,8,,,0,10250,,22 340,,10.20.42.49,,,,truenas RB,Диск подключён к 10.20.42.21. 14220_win2016r2_SO_Dev. Для SFTP для RB/ Нужно настроить бэкап на S3,SO,,Что тут? Надо отделить МДЛЗ от РБ
,50-55 Занято физикой см ниже,,,,,,,,0,,10.20.42.50-55,Занято физикой см ниже,,,,,,,
,14260_devlinux_Prod,6,16,300,,300,,,5 480,,10.20.42.61,,,,KMS,KMS Server для активации Windows и MS office,DO,,Это нужно? 5к для KMS?
5 Ghz,14261_win2022_gitlab-runner_windows_amd64,3,12,610,,610,,,8 900,,10.20.42.62,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=windows-runner.devops.ics.local&var-cpumode=dpc,"5,36%","Gitlab Runner WIndows
instancer","builder, ETL, sellout-connector,OCI Images",DO,,кто использует?
,14262_truenas_10TB,4,8,,,,10250,,0,,10.20.42.63,,,,iscsi drive MDLZ,Диск подключён к 10.20.42.13. iscsi drive. Дешевое хранилище на жестких дисках без бекапа,MDLZ,,DCORE
,ип адрес занят vm14296,,,,,,,,,,10.20.42.64,,,,,,,,
,14264_truenas_2TB,2,4,,,,2058,,0,,10.20.42.65,,,,iscsi drive for MDLZ dev,Диск подключён к 10.20.42.14. 14213_win2022_DCore_Dev,MDLZ,,DCORE
,14265_win2022_Data_Quality_Prod,4,16,120,1124,1244,,,12 432,,10.20.42.66,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=data-quality.mod.ics.local&var-cpumode=dpc,"7,86%",DQ prod,серверная часть Data Quality c DCore,MOD,,нужно?
,14266_win22_init_a_dev,4,64,200,500,700,,,11 920,,10.20.42.67,,,,INT A dev & dev J&J,JTNL dev,JTNL,,нужно?
,14267_win2022_syngenta,8,64,80,600,680,,,12 960,,10.20.42.68,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=syngenta.intnsa.ics.local&var-cpumode=dpc,"56,00%",Syngenta prod и preprod,,Syngenta,,
,,,,,,,,,,,10.20.42.69,,,,,,,,
,,,,,,,,,,,10.20.42.70,,,,,,,,
,14270_win22_Account,6,16,120,200,320,,,5 640,,10.20.42.71,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=account.intc.ics.local&var-cpumode=dpc,"6,72%",ACC prod,,ACC,,org
